"DeviceName","Manufacturer","DriverVersion","InfName","DeviceID"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\1A"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\17"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\14"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\15"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\16"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\F"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\4"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\5"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\6"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\3"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\0"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\1"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\2"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\7"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\C"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\D"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\E"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\B"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\8"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\9"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\A"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\1E"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\1F"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\1D"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\1B"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\1C"
"AMD Provisioning Packages","Advanced Micro Devices, Inc.","8.0.0.50","oem17.inf","ACPI\AMDI0052\2&DABA3FF&0"
